Title,Genre,AuthorName,PublisherName
Pride and Prejudice,Classic Literature/Romance,JaneAusten,Penguin Classics
To Kill a Mockingbird,Fiction/Southern Gothic,HarperLee,J.B. Lippincott & Co.
The Book Thief,Historical Fiction,MarkusZusak,Alfred A. Knopf
One of Us Is Lying,Young Adult/Mystery,KarenMcManus,Delacorte Press
A Court of Thorns and Roses,Fantasy/Romance,Sarah J.Maas,Bloomsbury Publishing
The Catcher in the Rye,Fiction/Literary Fiction,J.D.Salinger,"Little, Brown and Company"
Jane Eyre,Classic Literature/Gothic Fiction,CharlotteBrontÃ«,"Smith, Elder & Co."
1984,Dystopian/Political fiction,GeorgeOrwell,Secker & Warburg
Brave New World,Dystopian/Social science fiction,AldousHuxley,Chatto & Windus
Lord of the Flies,Dystopian/Social Science/Allegorical,WilliamGolding,Faber and Faber
The Great Gatsby,Tragedy/Social Commentary,F.ScottFitzgerald,Charles Scribner's Sons
Fahrenheit 451,Dystopian/Science Fiction,RayBradbury,Simon & Schuster
Of Mice and Men,Tragedy/Classics/Historical Fiction,JohnSteinbeck,Penguin Books
Divergent,Dystopian/Young Adult,VeronicaRoth,Harper Collins
Insurgent,Dystopian/Young Adult,VeronicaRoth,Harper Collins
Allegiant,Dystopian/Young Adult,VeronicaRoth,Harper Collins
Harry Potter and the Philosopher's Stone,Fantasy/Fiction,J.K.Rowling,Bloomsbury Publishing
Harry Potter and the Chamber of Secrets,Fantasy/Fiction,J.K.Rowling,Bloomsbury Publishing
Harry Potter and the Prisoner of Azkaban,Fantasy/Fiction,J.K.Rowling,Bloomsbury Publishing
